branch,rank,width,seed,validation_pressure_kpa,fit_converged,density_global_percent,u_ms_global_percent,v_ms_global_percent,temperature_k_global_percent,mach_global_percent,pressure_tecplot_global_percent
neural,6,16,690,19.0,True,1.1889501890435945,7.320107865455879,12.945709772727849,1.150742001429621,6.289762342687272,1.566144612795842
neural,6,16,690,20.0,False,5.575053537102752,15.731248034303174,17.469601651340646,4.69527953817655,14.472309503854122,7.854635763010951
neural,6,16,690,22.0,False,14.084565873868257,34.145018971304395,36.58339137045402,12.022472422370123,37.684336309015976,16.79018631611835
neural,6,16,690,23.0,False,5.223393741887677,14.473883396178996,15.626281596648825,3.5069790391837543,14.703741628454273,5.801982322340187
neural,6,16,690,24.0,False,6.15805821314654,15.060614432745373,19.710176808532868,5.053439873118307,17.064400538961863,7.342019023628096
neural,6,16,690,26.0,False,4.017667311293198,10.05103946175696,9.88800361427949,3.1794878012004806,12.073724289071661,4.853811053258532
neural,6,16,690,27.0,False,2.912945869262485,7.879274384346298,11.691953013948199,1.966495655982222,8.988705852719022,3.3334110987858843
neural,6,16,690,28.0,True,2.853315178691396,8.813823340673498,13.922595258063128,2.0180949263061305,9.38972185289077,3.27863173543456
neural,6,16,690,29.0,False,1.4626019590791737,4.1131302095425255,4.915852616331195,0.8606564391819234,4.20855103559579,1.8670852677705212
neural,6,16,691,18.0,False,4.895660641872868,14.254896968896965,19.759225894255188,4.249087127168978,14.167959800546386,5.603207794551144
neural,6,16,691,19.0,False,1.1916630860029809,7.2360723478903415,13.595103499534991,1.1401793286828308,6.235065619357401,1.6069893710850638
neural,6,16,691,20.0,False,4.767225558001269,12.035092670740385,12.808584724058713,3.780064878411657,12.390185733201712,5.956628647835662
neural,6,16,691,22.0,False,14.042588776325587,34.09262605715558,36.638553278289486,12.027096307551922,37.645608202109045,16.74163126614771
neural,6,16,691,23.0,True,5.283712030745118,14.29460452264157,15.937006221314473,3.5109438027886624,14.654918882206816,5.870585777126746
neural,6,16,691,24.0,False,5.91047424437867,15.54964897913058,21.073547912127978,5.147521064878182,17.30781544833353,7.195309470638679
neural,6,16,691,26.0,False,4.110755977565712,10.22787104165487,10.29967937469388,3.2598884791765115,12.272080590259247,4.967043260854244
neural,6,16,691,27.0,False,2.655705294090906,8.074209660503504,12.84197565004569,1.9534969560116904,8.961600287460083,3.1118733209623155
neural,6,16,691,28.0,False,2.9491820747349924,8.462102071806523,12.93042184961023,1.9836753765328563,9.194867450844866,3.34737709647287
neural,6,16,691,29.0,False,1.2412447116991316,3.712684796089152,6.02004610863413,0.7684653951446879,3.9791265817478454,1.4196908543535298
neural,6,16,692,18.0,True,4.9000498612422385,14.162848213178439,19.94534843255499,4.259221955157252,14.125839379461219,5.591931553699794
neural,6,16,692,19.0,False,1.3496649107063692,5.740608344085035,11.001963042825523,1.1670349592835165,5.063557262234056,1.9270889557047948
neural,6,16,692,20.0,False,5.021347438332628,14.487661297051865,16.420383212046545,4.080022897776865,13.922906840409535,6.5425456028666025
neural,6,16,692,22.0,False,14.193536581718776,34.02726450338535,36.227610216059595,12.008856690397836,37.61633076302852,16.903884337059033
neural,6,16,692,23.0,False,5.300753146405897,13.898678416778587,15.77569805956814,3.4731543576391335,14.431924962040716,5.849296361441262
neural,6,16,692,24.0,False,6.923397636717504,14.919568825536219,18.652082143831848,4.813914655365853,17.196042751278227,7.837283395010054
neural,6,16,692,26.0,False,4.090340961975694,10.081515494068698,9.699898051343299,3.1134066824606843,12.21193646812731,4.824600915869218
neural,6,16,692,27.0,True,3.059792873594448,8.085323028829254,12.190855899992334,2.0178412841735374,9.20398094638871,3.487833309617004
