train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
diverse,diverse,27,diverse_test_0003,0.018429872717811904,0.020471312222197318,0.03069991702796255,1.1370797624095097e-16,0.2098748644432726,0.0
diverse,diverse,27,diverse_test_0004,0.00853273641432301,0.014265021218559736,0.02574882114934511,9.420255169580534e-17,0.26815269377276896,0.0
diverse,diverse,27,diverse_test_0005,0.006128367091593887,0.009665704547005275,0.014763104788493457,1.0988184521590308e-16,0.24213918301979642,0.0
diverse,diverse,ensemble,diverse_test_0000,0.0029773824899757013,0.005254200147387577,0.010421697271285318,1.2866010969451875e-16,0.2247032382505674,0.0
diverse,diverse,ensemble,diverse_test_0001,0.0026298590699580762,0.004205542454634528,0.00525366198567246,1.3681391703561288e-16,0.23656279379978154,0.0
diverse,diverse,ensemble,diverse_test_0002,0.0027626358834094704,0.004477583842310814,0.007028354594548655,1.333315453739426e-16,0.13930442388535985,0.0
diverse,diverse,ensemble,diverse_test_0003,0.016888104447325587,0.0191919393447063,0.032364600772910326,1.1423285141796701e-16,0.20974196834155964,0.0
diverse,diverse,ensemble,diverse_test_0004,0.009375977392948267,0.0144236545069517,0.023999513221181754,1.0085590213754822e-16,0.2667181364621251,0.0
diverse,diverse,ensemble,diverse_test_0005,0.003927664421392513,0.007493455596423487,0.010327371888072945,1.2319141903327793e-16,0.24199866771205417,0.0
diverse,ood_shape,7,ood_shape_0000,0.024903312192334257,0.05858092755746611,0.12069208104905205,1.1691136948483837e-16,0.21006193686765534,0.0
diverse,ood_shape,7,ood_shape_0001,0.10292106307579676,0.12981119250951717,0.1556232113368579,8.731153552460518e-17,0.13855128134902506,0.05892556509887899
diverse,ood_shape,7,ood_shape_0002,0.029792281320886325,0.06755289558686026,0.16158840672749133,1.0186876749171492e-16,0.13252507435550093,0.04166666666666674
diverse,ood_shape,7,ood_shape_0003,0.0205894336573326,0.043602971703565224,0.07631776083182225,1.0631068639681988e-16,0.13998857479407548,0.04166666666666663
diverse,ood_shape,7,ood_shape_0004,0.06088846632486891,0.12359333880127671,0.1839619630089248,7.860027598213881e-17,0.1915062062529134,0.0
diverse,ood_shape,7,ood_shape_0005,0.044651314379935386,0.08039604272885513,0.16620817704415247,1.272200279374768e-16,0.12704841622798857,0.0
